id,source_website,source_label,source_url,geo_validation,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000043,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-11-03,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000044,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-11-03,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000065,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-10-29,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000034,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-10-28,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000080,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-10-05,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000045,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-10-04,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000066,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-09-29,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000035,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-09-28,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000022,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-09-19,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000023,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147?page=2#review-5,birdeye_us_profile,Demetrius Smith,2025-09-19,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000056,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-5,birdeye_us_profile,Demetrius Smith,2025-09-17,,positive,I am a dealer and have been doing business with this auction for over 25 years before it was changed from tri state and the way I was treated by Julie K was not professional and very wrong I bout a car and sold it and and proof of sale and dated titled when sold she did not want to see it and barred my business from making any purchases and made me pay for tickets tickets that was caused by the buyer who bought the car and told me I responsible for someone else actions and wouldn't let me talk maria or Larry's she instructed... read more,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000024,bbb.org,BBB Complaints,https://www.bbb.org/us/il/centreville/profile/auto-auction/americas-auto-auction-0734-310446804/complaints#0734_310446804_23564283,bbb_us_business,BBB complainant,2025-07-07,1,negative,"Billing Issues. On 6/26/25 I was issued a check Americas Auto Auction for a vehicle I sold. On 6/27/25, I picked the check up from the auction. I deposited the check on 6/30/25. On 7/3/25 I was alerted by my bank that the check had been returned. I contacted Americas Auto Auction and spoke to someone in accounting who told me that the vehicle was bought back and REMOVED said to stop payment on the check. I attempted to reach REMOVED and have been unsuccessful. I dont know why the vehicle was bought back considering all sales are final. I would not have been able to pick up the check had I not satisfied the requirements on my end. It seems this business is operating using discriminatory business practices and rules that apply to some, dont apply to all. I did not even receive a courtesy call letting me know that he was stopping payment on the check, so I have incurred additional fees by my bank. I operate a small business, so every dime matters to me.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000081,bbb.org,BBB Complaints,http://www.bbb.org/us/il/centreville/profile/auto-auction/americas-auto-auction-0734-310446804/complaints#0734_310446804_23564283,bbb_us_business,BBB complainant,2025-07-07,1,negative,"Billing Issues complaint (Answered). On 6/26/25 I was issued a check Americas Auto Auction for a vehicle I sold. On 6/27/25, I picked the check up from the auction. I deposited the check on 6/30/25. On 7/3/25 I was alerted by my bank that the check had been returned. I contacted Americas Auto Auction and spoke to someone in accounting who told me that the vehicle was bought back and REMOVED said to stop payment on the check. I attempted to reach REMOVED and have been unsuccessful. I dont know why the vehicle was bought back considering all sales are final. I would not have been able to pick up the check had I not satisfied the requirements on my end. It seems this business is operating using discriminatory business practices and rules that apply to some, dont apply to all. I did not even receive a courtesy call letting me know that he was stopping payment on the check, so I have incurred additional fees by my bank. I operate a small business, so every dime matters to me.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
